Area Name,Last residence,Total migrants Persons,Total migrants Males,Total migrantsFemales,Work/employment Persons,Work/employment Males,Work/employment Females,Business Persons,Business Males,Business Females,Education Persons,Education Males,Education Females,Marriage Persons,Marriage Males,Marriage Females,Moved after birth Persons,Moved after birth Males,Moved after birth Females,Moved with householdPersons,Moved with household Males,Moved with household Females,Others Persons,Others Males,Others Females
bihar,maharashtra,39964,5784,34180,1819,1578,241,92,75,17,321,256,65,29913,220,29693,188,99,89,2679,995,1684,4952,2561,2391
bihar,andhra pradesh,18020,1736,16284,725,614,111,56,37,19,135,95,40,14392,113,14279,80,49,31,1153,405,748,1479,423,1056
bihar,karnataka,9580,1775,7805,284,226,58,21,15,6,70,30,40,6319,56,6263,38,21,17,789,321,468,2059,1106,953
bihar,goa,143,61,82,16,13,3,3,1,2,2,2,0,43,1,42,5,3,2,30,12,18,44,29,15
bihar,lakshadweep,82,15,67,4,4,0,0,0,0,0,0,0,58,0,58,1,0,1,7,4,3,12,7,5
bihar,kerala,2435,807,1628,859,420,439,13,11,2,249,24,225,501,9,492,22,14,8,405,143,262,386,186,200
bihar,tamil nadu,2638,747,1891,356,272,84,22,17,5,74,42,32,1328,15,1313,26,12,14,410,156,254,422,233,189
bihar,puducherry,276,131,145,53,51,2,2,2,0,11,3,8,71,0,71,1,0,1,78,30,48,60,45,15
bihar,andaman & nicobar islands,172,61,111,13,11,2,1,1,0,3,1,2,78,0,78,9,6,3,31,14,17,37,28,9
chandigarh,jammu & kashmir,6261,3384,2877,1815,1676,139,120,103,17,417,197,220,594,9,585,161,96,65,2403,842,1561,751,461,290
chandigarh,himachal pradesh,53211,31087,22124,19143,18133,1010,699,609,90,3254,2309,945,7480,71,7409,2751,1586,1165,15051,5544,9507,4833,2835,1998
chandigarh,punjab,149718,73137,76581,38664,33914,4750,3267,2884,383,6126,3711,2415,29168,288,28880,9552,5504,4048,47583,18270,29313,15358,8566,6792
chandigarh,chandigargh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chandigarh,uttranchal,26496,15252,11244,10335,9931,404,212,185,27,675,438,237,3811,30,3781,939,566,373,7866,2541,5325,2658,1561,1097
chandigarh,haryana,85231,43181,42050,23189,21203,1986,1875,1676,199,2593,1730,863,16253,146,16107,5594,3264,2330,27796,10617,17179,7931,4545,3386
chandigarh,nct of delhi,19789,9598,10191,4834,4263,571,561,473,88,557,370,187,3232,37,3195,869,488,381,7721,2847,4874,2015,1120,895
chandigarh,rajasthan,8694,4610,4084,2449,2249,200,193,173,20,261,182,79,1138,13,1125,359,223,136,3501,1257,2244,793,513,280
chandigarh,uttar pradesh,134260,82746,51514,57572,55133,2439,1625,1479,146,1098,768,330,17171,264,16907,5488,3121,2367,37127,12657,24470,14179,9324,4855
chandigarh,bihar,30948,22861,8087,17835,17486,349,261,245,16,252,217,35,2209,29,2180,874,492,382,6510,2228,4282,3007,2164,843
chandigarh,sikkim,74,48,26,22,21,1,1,1,0,8,6,2,3,1,2,0,0,0,34,14,20,6,5,1
chandigarh,arunachal pradesh,74,40,34,14,14,0,0,0,0,4,2,2,5,1,4,2,2,0,37,16,21,12,5,7
chandigarh,nagaland,113,56,57,32,29,3,2,2,0,12,6,6,10,0,10,0,0,0,46,13,33,11,6,5
chandigarh,manipur,631,438,193,47,42,5,22,17,5,403,301,102,12,0,12,5,1,4,105,54,51,37,23,14
chandigarh,mizoram,85,52,33,25,25,0,0,0,0,16,7,9,0,0,0,2,1,1,35,15,20,7,4,3
chandigarh,tripura,78,51,27,27,25,2,0,0,0,15,13,2,8,0,8,0,0,0,22,9,13,6,4,2
chandigarh,meghalaya,238,119,119,41,35,6,2,1,1,6,5,1,11,0,11,3,1,2,148,60,88,27,17,10
chandigarh,assam,2261,1115,1146,501,460,41,37,28,9,67,48,19,103,1,102,50,28,22,1325,442,883,178,108,70
chandigarh,west bengal,9639,6078,3561,4354,4128,226,141,129,12,118,74,44,1004,21,983,335,206,129,2740,901,1839,947,619,328
chandigarh,jharkhand,2772,1707,1065,1323,1183,140,33,26,7,117,63,54,275,3,272,66,33,33,698,245,453,260,154,106
chandigarh,odisha,1548,885,663,662,609,53,33,29,4,37,27,10,194,4,190,41,25,16,452,117,335,129,74,55
chandigarh,chhattisgarh,2618,1385,1233,1236,842,394,21,18,3,31,15,16,140,5,135,90,47,43,877,344,533,223,114,109
chandigarh,madhya pradesh,3135,1596,1539,905,780,125,59,50,9,77,37,40,354,6,348,125,68,57,1308,478,830,307,177,130
chandigarh,gujarat,2574,1270,1304,663,587,76,26,21,5,75,62,13,252,2,250,81,43,38,1280,444,836,197,111,86
chandigarh,daman & diu,7,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,1,1,0
chandigarh,dadra & nagar haveli,8,3,5,2,2,0,0,0,0,0,0,0,3,0,3,0,0,0,2,0,2,1,1,0
chandigarh,maharashtra,4408,2213,2195,1034,921,113,100,87,13,75,45,30,419,8,411,167,94,73,2154,792,1362,459,266,193
chandigarh,andhra pradesh,1593,835,758,421,373,48,10,8,2,47,32,15,87,2,85,67,44,23,821,293,528,140,83,57
chandigarh,karnataka,2406,1328,1078,763,707,56,40,30,10,45,32,13,146,3,143,64,37,27,1164,393,771,184,126,58
chandigarh,goa,105,58,47,30,29,1,0,0,0,4,3,1,8,0,8,2,1,1,36,10,26,25,15,10
chandigarh,lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chandigarh,kerala,1525,748,777,523,435,88,19,16,3,68,20,48,174,2,172,129,74,55,483,138,345,129,63,66
chandigarh,tamil nadu,3826,1881,1945,1411,1165,246,20,16,4,30,19,11,507,18,489,117,62,55,1369,389,980,372,212,160
chandigarh,puducherry,65,35,30,19,17,2,0,0,0,7,6,1,8,0,8,7,4,3,19,7,12,5,1,4
chandigarh,andaman & nicobar islands,83,34,49,13,11,2,0,0,0,0,0,0,0,0,0,0,0,0,65,19,46,5,4,1
chhattisgarh,jammu & kashmir,9014,3278,5736,1949,1544,405,24,15,9,34,24,10,3374,51,3323,228,135,93,2422,956,1466,983,553,430
chhattisgarh,himachal pradesh,1311,620,691,379,358,21,14,14,0,13,11,2,328,4,324,39,22,17,390,135,255,148,76,72
chhattisgarh,punjab,15621,8431,7190,4632,4415,217,493,454,39,50,37,13,2961,40,2921,522,329,193,5112,2078,3034,1851,1078,773
chhattisgarh,chandigargh,1890,866,1024,173,151,22,9,7,2,14,8,6,501,15,486,33,20,13,308,134,174,852,531,321
chhattisgarh,uttranchal,2391,1242,1149,730,679,51,24,22,2,31,22,9,472,7,465,60,42,18,789,296,493,285,174,111
chhattisgarh,haryana,9952,5650,4302,2490,2361,129,831,789,42,65,54,11,1570,17,1553,262,162,100,3629,1525,2104,1105,742,363
chhattisgarh,nct of delhi,4885,2477,2408,951,862,89,115,103,12,57,43,14,769,11,758,248,143,105,1952,839,1113,793,476,317
chhattisgarh,rajasthan,17867,9489,8378,4068,3840,228,1400,1328,72,134,107,27,3930,52,3878,693,464,229,5535,2352,3183,2107,1346,761
chhattisgarh,uttar pradesh,121833,63296,58537,35918,34200,1718,2319,2136,183,1253,1057,196,27560,605,26955,3292,1991,1301,37741,14923,22818,13750,8384,5366
chhattisgarh,bihar,85669,47681,37988,28756,27763,993,1340,1238,102,769,631,138,14328,187,14141,2586,1524,1062,29269,11034,18235,8621,5304,3317
chhattisgarh,sikkim,47,27,20,10,9,1,0,0,0,6,5,1,8,0,8,0,0,0,15,5,10,8,8,0
chhattisgarh,arunachal pradesh,82,48,34,22,21,1,1,1,0,7,1,6,5,0,5,2,1,1,32,13,19,13,11,2
chhattisgarh,nagaland,85,40,45,16,15,1,1,1,0,7,4,3,9,1,8,1,0,1,31,12,19,20,7,13
chhattisgarh,manipur,127,71,56,33,32,1,2,2,0,11,8,3,27,0,27,4,4,0,28,14,14,22,11,11
chhattisgarh,mizoram,10,3,7,3,2,1,0,0,0,0,0,0,2,0,2,0,0,0,2,1,1,3,0,3
chhattisgarh,tripura,243,127,116,85,82,3,1,1,0,4,3,1,39,0,39,2,0,2,81,26,55,31,15,16
chhattisgarh,meghalaya,91,52,39,25,24,1,1,1,0,6,3,3,15,1,14,4,1,3,30,17,13,10,5,5
chhattisgarh,assam,5135,2404,2731,999,882,117,49,44,5,67,47,20,1340,15,1325,180,97,83,1791,887,904,709,432,277
chhattisgarh,west bengal,45592,23381,22211,13210,12377,833,687,641,46,306,228,78,9246,112,9134,1744,1019,725,14842,5666,9176,5557,3338,2219
chhattisgarh,jharkhand,81594,33552,48042,16762,15128,1634,1076,966,110,1160,805,355,28575,1099,27476,1626,934,692,23896,9834,14062,8499,4786,3713
chhattisgarh,odisha,172371,55307,117064,34624,29267,5357,836,696,140,441,309,132,80998,1664,79334,3135,1848,1287,36365,13507,22858,15972,8016,7956
chhattisgarh,chhattisgarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chhattisgarh,madhya pradesh,203325,90049,113276,48300,44033,4267,1600,1365,235,3427,2694,733,59971,1346,58625,6014,3505,2509,62652,25162,37490,21361,11944,9417
chhattisgarh,gujarat,11007,5383,5624,2194,1989,205,591,546,45,40,30,10,2420,21,2399,487,305,182,3812,1601,2211,1463,891,572
chhattisgarh,daman & diu,8,5,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,1,0,1
chhattisgarh,dadra & nagar haveli,38,20,18,10,8,2,2,1,1,0,0,0,10,0,10,1,1,0,9,6,3,6,4,2
chhattisgarh,maharashtra,87727,34298,53429,18432,16292,2140,853,741,112,474,339,135,31112,486,30626,4457,2586,1871,22046,8568,13478,10353,5286,5067
chhattisgarh,andhra pradesh,37685,17665,20020,11130,10391,739,299,240,59,134,90,44,9330,95,9235,2215,1282,933,10371,3491,6880,4206,2076,2130
chhattisgarh,karnataka,2783,1282,1501,694,624,70,33,27,6,45,31,14,687,12,675,98,65,33,916,371,545,310,152,158
chhattisgarh,goa,154,73,81,27,17,10,0,0,0,0,0,0,11,0,11,4,3,1,26,10,16,86,43,43
chhattisgarh,lakshadweep,11,11,0,10,10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
chhattisgarh,kerala,12067,6034,6033,4702,4007,695,131,117,14,205,128,77,2375,27,2348,687,374,313,2580,765,1815,1387,616,771
chhattisgarh,tamil nadu,5565,2943,2622,1865,1692,173,148,130,18,31,24,7,1016,11,1005,305,165,140,1570,595,975,630,326,304
chhattisgarh,puducherry,61,27,34,17,17,0,0,0,0,0,0,0,12,0,12,7,4,3,15,2,13,10,4,6
chhattisgarh,andaman & nicobar islands,174,81,93,31,25,6,1,1,0,10,4,6,25,1,24,2,1,1,68,26,42,37,23,14
dadra & nagar haveli,jammu & kashmir,34,28,6,22,22,0,1,1,0,0,0,0,1,0,1,1,0,1,7,4,3,2,1,1
dadra & nagar haveli,himachal pradesh,77,57,20,45,44,1,8,8,0,0,0,0,5,0,5,0,0,0,16,2,14,3,3,0
dadra & nagar haveli,punjab,153,126,27,96,96,0,5,5,0,1,1,0,6,0,6,3,2,1,27,10,17,15,12,3
dadra & nagar haveli,chandigargh,14,7,7,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,10,4,6,1,0,1
dadra & nagar haveli,uttranchal,591,453,138,392,385,7,13,13,0,0,0,0,25,0,25,6,1,5,128,41,87,27,13,14
dadra & nagar haveli,haryana,264,180,84,123,121,2,15,15,0,2,1,1,17,0,17,6,3,3,74,23,51,27,17,10
dadra & nagar haveli,nct of delhi,236,170,66,127,126,1,10,9,1,1,1,0,7,0,7,5,3,2,73,22,51,13,9,4
dadra & nagar haveli,rajasthan,3428,2419,1009,1497,1446,51,436,418,18,23,15,8,190,4,186,105,52,53,867,304,563,310,180,130
dadra & nagar haveli,uttar pradesh,11314,8577,2737,6404,6271,133,916,871,45,13,12,1,678,8,670,205,103,102,2329,808,1521,769,504,265
dadra & nagar haveli,bihar,7695,6305,1390,5332,5272,60,285,277,8,13,8,5,335,4,331,99,51,48,1259,437,822,372,256,116
dadra & nagar haveli,sikkim,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
dadra & nagar haveli,arunachal pradesh,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dadra & nagar haveli,nagaland,9,6,3,5,4,1,3,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
dadra & nagar haveli,manipur,11,10,1,9,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
dadra & nagar haveli,mizoram,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
dadra & nagar haveli,tripura,3,3,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dadra & nagar haveli,meghalaya,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
dadra & nagar haveli,assam,187,166,21,148,145,3,6,5,1,0,0,0,6,0,6,2,2,0,14,6,8,11,8,3
dadra & nagar haveli,west bengal,1215,964,251,848,834,14,33,33,0,1,1,0,75,0,75,15,5,10,194,58,136,49,33,16
dadra & nagar haveli,jharkhand,1101,950,151,862,835,27,29,28,1,1,1,0,35,2,33,15,7,8,104,32,72,55,45,10
dadra & nagar haveli,odisha,1928,1676,252,1511,1481,30,76,71,5,4,3,1,66,5,61,14,7,7,162,47,115,95,62,33
dadra & nagar haveli,chhattisgarh,381,225,156,222,169,53,8,6,2,0,0,0,9,0,9,0,0,0,125,43,82,17,7,10
dadra & nagar haveli,madhya pradesh,1312,870,442,700,626,74,55,44,11,5,2,3,61,1,60,20,13,7,358,120,238,113,64,49
dadra & nagar haveli,gujarat,18671,7277,11394,3416,2980,436,1079,911,168,82,60,22,6803,340,6463,722,419,303,4177,1560,2617,2392,1007,1385
dadra & nagar haveli,daman & diu,664,338,326,214,204,10,26,22,4,0,0,0,195,6,189,39,24,15,118,42,76,72,40,32
dadra & nagar haveli,dadra & nagar haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dadra & nagar haveli,maharashtra,14640,8015,6625,5225,4903,322,810,707,103,18,13,5,2786,97,2689,496,280,216,4139,1441,2698,1166,574,592
dadra & nagar haveli,andhra pradesh,548,349,199,270,259,11,14,13,1,4,3,1,39,0,39,20,9,11,161,41,120,40,24,16
dadra & nagar haveli,karnataka,776,504,272,376,338,38,41,36,5,2,1,1,55,1,54,40,25,15,185,60,125,77,43,34
dadra & nagar haveli,goa,92,49,43,28,24,4,3,2,1,0,0,0,7,1,6,6,1,5,14,3,11,34,18,16
dadra & nagar haveli,lakshadweep,36,36,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0
dadra & nagar haveli,kerala,1368,902,466,681,645,36,75,72,3,3,3,0,125,3,122,58,25,33,312,84,228,114,70,44
dadra & nagar haveli,tamil nadu,545,360,185,264,254,10,42,40,2,0,0,0,37,0,37,14,8,6,150,42,108,38,16,22
dadra & nagar haveli,puducherry,20,13,7,9,6,3,2,1,1,0,0,0,0,0,0,1,1,0,6,3,3,2,2,0
dadra & nagar haveli,andaman & nicobar islands,9,7,2,3,3,0,0,0,0,0,0,0,1,0,1,0,0,0,3,2,1,2,2,0
daman & diu,jammu & kashmir,38,33,5,30,30,0,0,0,0,0,0,0,1,0,1,0,0,0,5,2,3,2,1,1
daman & diu,himachal pradesh,83,52,31,35,35,0,3,2,1,0,0,0,8,1,7,1,0,1,34,12,22,2,2,0
daman & diu,punjab,113,83,30,65,62,3,3,3,0,0,0,0,4,0,4,0,0,0,37,15,22,4,3,1
daman & diu,chandigargh,34,23,11,16,15,1,0,0,0,0,0,0,0,0,0,1,0,1,17,8,9,0,0,0
daman & diu,uttranchal,322,277,45,211,208,3,29,29,0,0,0,0,6,0,6,4,2,2,61,30,31,11,8,3
daman & diu,haryana,151,101,50,73,72,1,9,9,0,0,0,0,5,0,5,6,1,5,53,15,38,5,4,1
daman & diu,nct of delhi,208,130,78,99,90,9,11,11,0,1,1,0,1,0,1,8,4,4,79,22,57,9,2,7
daman & diu,rajasthan,2563,1878,685,1257,1230,27,294,280,14,28,27,1,103,0,103,67,36,31,674,225,449,140,80,60
daman & diu,uttar pradesh,10193,8534,1659,7214,7100,114,508,489,19,13,12,1,252,2,250,138,80,58,1587,514,1073,481,337,144
daman & diu,bihar,8962,8051,911,7434,7355,79,153,150,3,6,3,3,143,3,140,47,22,25,888,291,597,291,227,64
daman & diu,sikkim,5,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0
daman & diu,arunachal pradesh,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
daman & diu,nagaland,10,7,3,3,3,0,1,1,0,0,0,0,1,0,1,0,0,0,4,2,2,1,1,0
daman & diu,manipur,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daman & diu,mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daman & diu,tripura,5,4,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
daman & diu,meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daman & diu,assam,283,266,17,257,254,3,4,3,1,0,0,0,3,0,3,0,0,0,13,5,8,6,4,2
daman & diu,west bengal,1790,1569,221,1434,1411,23,49,49,0,1,1,0,31,0,31,6,3,3,196,49,147,73,56,17
daman & diu,jharkhand,1337,1224,113,1172,1152,20,24,24,0,1,0,1,13,0,13,9,6,3,87,18,69,31,24,7
daman & diu,odisha,2073,1850,223,1774,1731,43,25,25,0,0,0,0,25,1,24,17,9,8,184,46,138,48,38,10
daman & diu,chhattisgarh,457,324,133,281,247,34,37,26,11,0,0,0,6,0,6,2,2,0,113,36,77,18,13,5
daman & diu,madhya pradesh,1483,1122,361,982,912,70,47,38,9,2,2,0,30,2,28,15,8,7,328,106,222,79,54,25
daman & diu,gujarat,17564,7382,10182,3443,2973,470,985,853,132,154,109,45,5560,107,5453,1965,1124,841,3879,1506,2373,1578,710,868
daman & diu,daman & diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daman & diu,dadra & nagar haveli,676,359,317,269,227,42,23,21,2,1,0,1,124,3,121,26,12,14,148,52,96,85,44,41
daman & diu,maharashtra,10450,6631,3819,4738,4481,257,410,372,38,36,23,13,986,7,979,438,253,185,3070,1021,2049,772,474,298
daman & diu,andhra pradesh,255,171,84,114,109,5,19,18,1,0,0,0,8,1,7,7,2,5,86,24,62,21,17,4
daman & diu,karnataka,540,353,187,264,249,15,15,15,0,2,2,0,28,0,28,17,11,6,186,59,127,28,17,11
daman & diu,goa,427,247,180,140,133,7,23,16,7,8,8,0,50,3,47,18,11,7,165,65,100,23,11,12
daman & diu,lakshadweep,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daman & diu,kerala,841,607,234,536,489,47,40,40,0,1,1,0,55,0,55,23,16,7,158,43,115,28,18,10
daman & diu,tamil nadu,363,249,114,184,181,3,19,18,1,0,0,0,18,0,18,10,7,3,122,34,88,10,9,1
daman & diu,puducherry,2,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
daman & diu,andaman & nicobar islands,31,15,16,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,22,7,15,1,0,1
goa,jammu & kashmir,881,655,226,304,296,8,194,188,6,5,5,0,44,2,42,23,13,10,203,70,133,108,81,27
goa,himachal pradesh,324,171,153,86,74,12,6,2,4,28,21,7,20,0,20,12,7,5,126,43,83,46,24,22
goa,punjab,678,390,288,236,225,11,14,11,3,21,16,5,61,0,61,35,17,18,246,80,166,65,41,24
goa,chandigargh,174,81,93,49,41,8,5,2,3,4,2,2,16,0,16,11,6,5,71,19,52,18,11,7
goa,uttranchal,422,247,175,153,145,8,18,16,2,15,13,2,28,0,28,18,9,9,151,43,108,39,21,18
goa,haryana,699,344,355,150,140,10,17,17,0,22,17,5,51,0,51,21,12,9,347,107,240,91,51,40
goa,nct of delhi,1687,924,763,429,394,35,65,54,11,69,50,19,126,2,124,70,37,33,751,278,473,177,109,68
goa,rajasthan,2550,1658,892,919,877,42,225,213,12,29,21,8,225,3,222,143,80,63,731,283,448,278,181,97
goa,uttar pradesh,11532,8080,3452,5325,5202,123,430,416,14,75,55,20,1034,7,1027,614,359,255,2599,1010,1589,1455,1031,424
goa,bihar,4066,2938,1128,2275,2127,148,60,58,2,38,31,7,223,3,220,130,60,70,842,316,526,498,343,155
goa,sikkim,15,12,3,8,7,1,0,0,0,0,0,0,1,0,1,0,0,0,2,1,1,4,4,0
goa,arunachal pradesh,23,15,8,11,10,1,0,0,0,1,1,0,3,0,3,0,0,0,7,3,4,1,1,0
goa,nagaland,34,27,7,12,12,0,0,0,0,8,8,0,1,0,1,2,2,0,10,4,6,1,1,0
goa,manipur,68,44,24,32,29,3,1,1,0,2,1,1,7,0,7,0,0,0,14,3,11,12,10,2
goa,mizoram,9,7,2,4,4,0,0,0,0,1,1,0,1,0,1,0,0,0,3,2,1,0,0,0
goa,tripura,25,14,11,8,8,0,0,0,0,0,0,0,3,0,3,1,1,0,11,3,8,2,2,0
goa,meghalaya,44,25,19,8,7,1,0,0,0,7,5,2,4,0,4,6,4,2,17,7,10,2,2,0
goa,assam,449,278,171,180,172,8,7,7,0,1,1,0,42,0,42,32,21,11,135,46,89,52,31,21
goa,west bengal,3272,2240,1032,1697,1628,69,95,86,9,17,12,5,281,1,280,117,58,59,742,253,489,323,202,121
goa,jharkhand,1444,1072,372,886,796,90,8,8,0,24,20,4,62,0,62,33,21,12,261,98,163,170,129,41
goa,odisha,2148,1597,551,1406,1305,101,7,6,1,18,7,11,81,0,81,48,24,24,396,121,275,192,134,58
goa,chhattisgarh,394,217,177,174,137,37,1,1,0,16,8,8,20,0,20,11,6,5,138,45,93,34,20,14
goa,madhya pradesh,1579,857,722,595,480,115,23,22,1,23,15,8,150,4,146,79,45,34,489,189,300,220,102,118
goa,gujarat,3041,1589,1452,676,612,64,209,187,22,22,16,6,408,3,405,242,138,104,1067,402,665,417,231,186
goa,daman & diu,318,162,156,77,69,8,8,7,1,14,10,4,51,0,51,19,11,8,97,39,58,52,26,26
goa,dadra & nagar haveli,41,34,7,24,23,1,0,0,0,8,6,2,3,0,3,0,0,0,2,1,1,4,4,0
goa,maharashtra,58750,27640,31110,12871,11362,1509,1082,940,142,725,535,190,13836,199,13637,5583,3281,2302,16600,6696,9904,8053,4627,3426
goa,andhra pradesh,6355,3293,3062,2313,1929,384,77,65,12,38,20,18,735,11,724,399,207,192,2020,657,1363,773,404,369
goa,karnataka,112116,58812,53304,39992,33590,6402,1550,1388,162,444,306,138,18799,157,18642,10887,5909,4978,27565,10417,17148,12879,7045,5834
goa,goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goa,lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goa,kerala,10251,5883,4368,3865,3555,310,315,295,20,135,73,62,1234,14,1220,942,512,430,2814,936,1878,946,498,448
goa,tamil nadu,5041,2865,2176,1921,1716,205,190,175,15,49,29,20,551,8,543,361,195,166,1468,472,996,501,270,231
goa,puducherry,114,60,54,40,38,2,2,2,0,5,5,0,14,0,14,10,3,7,32,10,22,11,2,9
goa,andaman & nicobar islands,325,134,191,39,37,2,0,0,0,4,4,0,3,0,3,3,2,1,265,82,183,11,9,2
gujarat,jammu & kashmir,3390,2048,1342,866,819,47,108,97,11,379,270,109,271,22,249,56,27,29,1140,440,700,570,373,197
